CATEGORY_NAME,SUB_CATEGORY_NAME,ATTRIBUTE_NAME,SUB_ATTRIBUTE_NAME,LOWEST_TAXONOMY,HEALTH_INTEREST,REC_COUNT,SHARE_WITHIN_LOWEST_TAXONOMY,SHARE_WITHIN_HEALTH_INTEREST
Vitamins & minerals,Multivitamins & minerals,Women's multivitamins,,Women's multivitamins,Premenstrual tension syndrome (PMS),1,0.005405405405,0.002415458937
Nutritional supplements,Probiotics,Women's probiotics,,Women's probiotics,Premenstrual tension syndrome (PMS),1,0.002150537634,0.002415458937
Conditions & formulations,Women's health,Women's sexual support,,Women's sexual support,Premenstrual tension syndrome (PMS),1,0.01785714286,0.002415458937
Vitamins & minerals,Multivitamins & minerals,Prenatal vitamins,,Prenatal vitamins,Prenatal health,298,0.4245014245,0.5
Nutritional supplements,Omegas & other fatty acids,Fish oil,DHA-dominant,DHA-dominant,Prenatal health,33,0.1330645161,0.05536912752
Nutritional supplements,Probiotics,Women's probiotics,,Women's probiotics,Prenatal health,32,0.0688172043,0.05369127517
Vitamins & minerals,Complexes & combos,Vitamin D & K,,Vitamin D & K,Prenatal health,25,0.004352367688,0.04194630872
Nutritional supplements,Other metabolites & bioactive compounds,CoQ10,,CoQ10,Prenatal health,22,0.02933333333,0.03691275168
Nutritional supplements,Omegas & other fatty acids,Fish oil,Balanced EPA/DHA,Balanced EPA/DHA,Prenatal health,18,0.006823351024,0.03020134228
Nutritional supplements,Other metabolites & bioactive compounds,Choline,,Choline,Prenatal health,13,0.2,0.02181208054
Vitamins & minerals,Complexes & combos,B-complexes,,B-complexes,Prenatal health,9,0.003066439523,0.01510067114
Nutritional supplements,Probiotics,Lacto-bifidobacteria,Lacto-bifidobacteria blends,Lacto-bifidobacteria blends,Prenatal health,9,0.006219765031,0.01510067114
Vitamins & minerals,Vitamins,Vitamin D,Vitamin D3 (Cholecalciferol),Vitamin D3 (Cholecalciferol),Prenatal health,9,0.005968169761,0.01510067114
Nutritional supplements,Omegas & other fatty acids,Fish oil,Cod liver oil,Cod liver oil,Prenatal health,7,0.04635761589,0.01174496644
Nutritional supplements,Omegas & other fatty acids,Fish oil,EPA-dominant,EPA-dominant,Prenatal health,7,0.005355776588,0.01174496644
Vitamins & minerals,Minerals,Iron,Iron bisglycinate,Iron bisglycinate,Prenatal health,7,0.002739726027,0.01174496644
Vitamins & minerals,Multivitamins & minerals,Multivitamins,,Multivitamins,Prenatal health,7,0.006422018349,0.01174496644
Conditions & formulations,Women's health,Women's fertility support,,Women's fertility support,Prenatal health,6,0.03278688525,0.01006711409
Vitamins & minerals,Minerals,Magnesium,Magnesium glycinate,Magnesium glycinate,Prenatal health,5,0.001265822785,0.008389261745
Vitamins & minerals,Multivitamins & minerals,Men's multivitamins,,Men's multivitamins,Prenatal health,5,0.06172839506,0.008389261745
Nutritional supplements,Other metabolites & bioactive compounds,Inositol,Myo-inositol + d-chiro,Myo-inositol + d-chiro,Prenatal health,5,0.006570302234,0.008389261745
Vitamins & minerals,Vitamins,Vitamin B9 (Folate),L-5-MTHF (L-methylfolate),L-5-MTHF (L-methylfolate),Prenatal health,4,0.01739130435,0.006711409396
Nutritional supplements,Other metabolites & bioactive compounds,Inositol,Myo-inositol,Myo-inositol,Prenatal health,4,0.007547169811,0.006711409396
Vitamins & minerals,Complexes & combos,Vitamin B12 & folate,,Vitamin B12 & folate,Prenatal health,4,0.007326007326,0.006711409396
Nutritional supplements,Other metabolites & bioactive compounds,Alpha lipoic acid (ALA),,Alpha lipoic acid (ALA),Prenatal health,3,0.007407407407,0.005033557047
Nutritional supplements,Omegas & other fatty acids,Other fatty acids,Omega 3-6-9 ,Omega 3-6-9 ,Prenatal health,3,0.0375,0.005033557047
Nutritional supplements,Other metabolites & bioactive compounds,Phosphatidylcholine,,Phosphatidylcholine,Prenatal health,3,0.01807228916,0.005033557047
Herbal/Botanicals,Herbs,Vitex (Chasteberry),,Vitex (Chasteberry),Prenatal health,3,0.01229508197,0.005033557047
Nutritional supplements,Collagen & protein,Collagen,Bovine collagen,Bovine collagen,Prenatal health,2,0.006557377049,0.003355704698
Vitamins & minerals,Complexes & combos,Calcium & magnesium,,Calcium & magnesium,Prenatal health,2,0.016,0.003355704698
Vitamins & minerals,Minerals,Calcium,Calcium citrate,Calcium citrate,Prenatal health,2,0.016,0.003355704698
Vitamins & minerals,Complexes & combos,Electrolytes,,Electrolytes,Prenatal health,2,0.00625,0.003355704698
Vitamins & minerals,Vitamins,Vitamin B9 (Folate),Folic acid,Folic acid,Prenatal health,2,0.06666666667,0.003355704698
Conditions & formulations,"Antiox, detox, & cellular health",Liver/hepatic support,,Liver/hepatic support,Prenatal health,2,0.003795066414,0.003355704698
Vitamins & minerals,Multivitamins & minerals,Multiminerals,,Multiminerals,Prenatal health,2,0.007874015748,0.003355704698
Nutritional supplements,Amino acids,Amino compounds,N-acetyl-cysteine (NAC),N-acetyl-cysteine (NAC),Prenatal health,2,0.002094240838,0.003355704698
Conditions & formulations,Women's health,Pregnancy support,,Pregnancy support,Prenatal health,2,0.1818181818,0.003355704698
Vitamins & minerals,Vitamins,Vitamin B6 (Pyridoxine),Pyridoxal 5'-phosphate (P5P),Pyridoxal 5'-phosphate (P5P),Prenatal health,2,0.01694915254,0.003355704698
Vitamins & minerals,Multivitamins & minerals,Women's multivitamins,,Women's multivitamins,Prenatal health,2,0.01081081081,0.003355704698
Nutritional supplements,Other metabolites & bioactive compounds,d-Mannose,,d-Mannose,Prenatal health,2,0.009132420091,0.003355704698
Nutritional supplements,Omegas & other fatty acids,Plant omegas,Algae oil,Algae oil,Prenatal health,1,0.009900990099,0.001677852349
Herbal/Botanicals,Phytonutrients,Greens & superfoods,Aloe,Aloe,Prenatal health,1,0.005586592179,0.001677852349
Herbal/Botanicals,Phytonutrients,Flavonoids,Anthocyanins,Anthocyanins,Prenatal health,1,0.004901960784,0.001677852349
Nutritional supplements,Amino acids,Base amino acids,Arginine/Citrulline,Arginine/Citrulline,Prenatal health,1,0.01,0.001677852349
Vitamins & minerals,Vitamins,Vitamin C,Ascorbic acid,Ascorbic acid,Prenatal health,1,0.001700680272,0.001677852349
Nutritional supplements,Probiotics,Bacillus (Spore-based),Bacillus blends,Bacillus blends,Prenatal health,1,0.001841620626,0.001677852349
Nutritional supplements,Amino acids,Amino compounds,Carnitine,Carnitine,Prenatal health,1,0.00641025641,0.001677852349
Nutritional supplements,Other metabolites & bioactive compounds,Citicoline,,Citicoline,Prenatal health,1,0.03703703704,0.001677852349
Conditions & formulations,"Antiox, detox, & cellular health",Detox support,,Detox support,Prenatal health,1,0.001996007984,0.001677852349
Nutritional supplements,Amino acids,Peptides,Glutathione,Glutathione,Prenatal health,1,0.003076923077,0.001677852349
Conditions & formulations,Immune & inflammatory health,Immune support,,Immune support,Prenatal health,1,0.002475247525,0.001677852349
Conditions & formulations,Genitourinary health,Kidney support,,Kidney support,Prenatal health,1,0.01052631579,0.001677852349
Nutritional supplements,Omegas & other fatty acids,Fish oil,Krill oil,Krill oil,Prenatal health,1,0.0243902439,0.001677852349
Herbal/Botanicals,Herbs,Maca (Lepidium),,Maca (Lepidium),Prenatal health,1,0.005917159763,0.001677852349
Vitamins & minerals,Minerals,Magnesium,Magnesium threonate,Magnesium threonate,Prenatal health,1,0.001686340641,0.001677852349
Nutritional supplements,Hormones & glandulars,Melatonin,,Melatonin,Prenatal health,1,0.001779359431,0.001677852349
Conditions & formulations,Gastrointestinal health,Microbial support,,Microbial support,Prenatal health,1,0.0007262164125,0.001677852349
Conditions & formulations,"Antiox, detox, & cellular health",Mitochondrial support,,Mitochondrial support,Prenatal health,1,0.004807692308,0.001677852349
Nutritional supplements,Collagen & protein,Whey & animal protein,Other animal proteins,Other animal proteins,Prenatal health,1,0.0303030303,0.001677852349
Nutritional supplements,Collagen & protein,Collagen,Other collagens,Other collagens,Prenatal health,1,0.006097560976,0.001677852349
Nutritional supplements,Enzymes,Digestive enzymes,Other digestive enzymes,Other digestive enzymes,Prenatal health,1,0.0004692632567,0.001677852349
Herbal/Botanicals,Phytonutrients,Greens & superfoods,Other greens & superfoods,Other greens & superfoods,Prenatal health,1,0.005882352941,0.001677852349
Vitamins & minerals,Minerals,Iron,Other iron,Other iron,Prenatal health,1,0.001706484642,0.001677852349
Vitamins & minerals,Minerals,Magnesium,Other magnesium,Other magnesium,Prenatal health,1,0.0007183908046,0.001677852349
Nutritional supplements,Omegas & other fatty acids,Plant omegas,Other plant omegas,Other plant omegas,Prenatal health,1,0.01724137931,0.001677852349
Vitamins & minerals,Vitamins,Vitamin C,Other vitamin C,Other vitamin C,Prenatal health,1,0.025,0.001677852349
Vitamins & minerals,Vitamins,Vitamin B6 (Pyridoxine),Pyridoxine HCl,Pyridoxine HCl,Prenatal health,1,0.03703703704,0.001677852349
Herbal/Botanicals,Phytonutrients,Greens & superfoods,Spirulina,Spirulina,Prenatal health,1,0.09090909091,0.001677852349
Herbal/Botanicals,Herbs,Ashwagandha (Withania),Standard ashwagandha,Standard ashwagandha,Prenatal health,1,0.001501501502,0.001677852349
Vitamins & minerals,Vitamins,Vitamin K,Vitamin K2 (Menaquinone) - MK7,Vitamin K2 (Menaquinone) - MK7,Prenatal health,1,0.04166666667,0.001677852349
Vitamins & minerals,Minerals,Zinc,Zinc carnosine,Zinc carnosine,Prenatal health,1,0.006172839506,0.001677852349
Vitamins & minerals,Vitamins,Vitamin C,Ascorbic acid,Ascorbic acid,Preoperative nutrition,1,0.001700680272,0.25
Nutritional supplements,Probiotics,Bacillus (Spore-based),Bacillus blends,Bacillus blends,Preoperative nutrition,1,0.001841620626,0.25
Vitamins & minerals,Multivitamins & minerals,Men's multivitamins,,Men's multivitamins,Preoperative nutrition,1,0.01234567901,0.25
Vitamins & minerals,Minerals,Zinc,Zinc picolinate,Zinc picolinate,Preoperative nutrition,1,0.002212389381,0.25
Vitamins & minerals,Multivitamins & minerals,Multivitamins,,Multivitamins,Preoperative support,2,0.001834862385,0.1428571429
Vitamins & minerals,Complexes & combos,Vitamin D & K,,Vitamin D & K,Preoperative support,2,0.000348189415,0.1428571429
Vitamins & minerals,Minerals,Zinc,Zinc picolinate,Zinc picolinate,Preoperative support,2,0.004424778761,0.1428571429
Vitamins & minerals,Vitamins,Vitamin C,Ascorbic acid,Ascorbic acid,Preoperative support,1,0.001700680272,0.07142857143
Vitamins & minerals,Complexes & combos,B-complexes,,B-complexes,Preoperative support,1,0.0003407155026,0.07142857143
Conditions & formulations,Cardiometabolic health,Weight management support,Bariatric support,Bariatric support,Preoperative support,1,0.3333333333,0.07142857143
Homeopathy,Homeopathic remedies,Homeopathic singles,,Homeopathic singles,Preoperative support,1,0.00243902439,0.07142857143
Vitamins & minerals,Minerals,Iron,Iron bisglycinate,Iron bisglycinate,Preoperative support,1,0.0003913894325,0.07142857143
Conditions & formulations,Genitourinary health,Kidney support,,Kidney support,Preoperative support,1,0.01052631579,0.07142857143
Nutritional supplements,Collagen & protein,Collagen,Other collagens,Other collagens,Preoperative support,1,0.006097560976,0.07142857143
Vitamins & minerals,Vitamins,Vitamin E,Tocopherols,Tocopherols,Preoperative support,1,0.009090909091,0.07142857143
Conditions & formulations,Men's health,Prostate support,,Prostate support,Prostate cancer,12,0.08,0.3
Nutritional supplements,Prebiotics & fibers,Pectins,,Pectins,Prostate cancer,4,0.07272727273,0.1
Nutritional supplements,Hormones & glandulars,Melatonin,,Melatonin,Prostate cancer,2,0.003558718861,0.05
Conditions & formulations,"Antiox, detox, & cellular health",Mitochondrial support,,Mitochondrial support,Prostate cancer,2,0.009615384615,0.05
Nutritional supplements,Hormones & glandulars,Glandulars,Other glandulars,Other glandulars,Prostate cancer,2,0.005952380952,0.05
Herbal/Botanicals,Phytonutrients,Phytosterols,,Phytosterols,Prostate cancer,2,0.006557377049,0.05
Vitamins & minerals,Vitamins,Vitamin C,Ascorbic acid,Ascorbic acid,Prostate cancer,1,0.001700680272,0.025
Nutritional supplements,Omegas & other fatty acids,Fish oil,Balanced EPA/DHA,Balanced EPA/DHA,Prostate cancer,1,0.0003790750569,0.025
Herbal/Botanicals,Herbs,Berberis (Berberine),,Berberis (Berberine),Prostate cancer,1,0.0003725782414,0.025
Nutritional supplements,Amino acids,Amino compounds,DMG,DMG,Prostate cancer,1,0.5,0.025
Nutritional supplements,Omegas & other fatty acids,Fish oil,EPA-dominant,EPA-dominant,Prostate cancer,1,0.0007651109411,0.025
Herbal/Botanicals,Phytonutrients,Flavonoids,Green tea catechins,Green tea catechins,Prostate cancer,1,0.01785714286,0.025
Herbal/Botanicals,Phytonutrients,Indoles & sulphoraphane,,Indoles & sulphoraphane,Prostate cancer,1,0.002666666667,0.025
Conditions & formulations,Immune & inflammatory health,Inflammation support,,Inflammation support,Prostate cancer,1,0.001724137931,0.025
Nutritional supplements,Probiotics,Lacto-bifidobacteria,Lacto-bifidobacteria blends,Lacto-bifidobacteria blends,Prostate cancer,1,0.0006910850035,0.025
Conditions & formulations,"Antiox, detox, & cellular health",Liver/hepatic support,,Liver/hepatic support,Prostate cancer,1,0.001897533207,0.025
Herbal/Botanicals,Phytonutrients,Carotenoids,Lycopene,Lycopene,Prostate cancer,1,0.5,0.025
Vitamins & minerals,Multivitamins & minerals,Multivitamins,,Multivitamins,Prostate cancer,1,0.0009174311927,0.025
Nutritional supplements,Prebiotics & fibers,Other prebiotics & fibers,,Other prebiotics & fibers,Prostate cancer,1,0.001597444089,0.025
Herbal/Botanicals,Phytonutrients,Flavonoids,Quercetin,Quercetin,Prostate cancer,1,0.004115226337,0.025
Vitamins & minerals,Minerals,Selenium,Sodium selenite/selenate,Sodium selenite/selenate,Prostate cancer,1,0.07142857143,0.025
Herbal/Botanicals,Herbs,Turmeric (Curcumin),Standard turmeric/curcumin,Standard turmeric/curcumin,Prostate cancer,1,0.002283105023,0.025
Conditions & formulations,Men's health,Prostate support,,Prostate support,Prostatitis,24,0.16,0.5217391304
Herbal/Botanicals,Herbs,Saw palmetto,,Saw palmetto,Prostatitis,4,0.04494382022,0.08695652174
Herbal/Botanicals,Phytonutrients,Phytosterols,,Phytosterols,Prostatitis,3,0.009836065574,0.0652173913
Herbal/Botanicals,Phytonutrients,Flavonoids,Anthocyanins,Anthocyanins,Prostatitis,2,0.009803921569,0.04347826087
Conditions & formulations,Gastrointestinal health,Microbial support,,Microbial support,Prostatitis,2,0.001452432825,0.04347826087
Nutritional supplements,Hormones & glandulars,Glandulars,Other glandulars,Other glandulars,Prostatitis,2,0.005952380952,0.04347826087
Herbal/Botanicals,Phytonutrients,Flavonoids,Quercetin,Quercetin,Prostatitis,2,0.008230452675,0.04347826087
Herbal/Botanicals,Herbs,Berberis (Berberine),,Berberis (Berberine),Prostatitis,1,0.0003725782414,0.02173913043
Conditions & formulations,"Antiox, detox, & cellular health",Detox support,,Detox support,Prostatitis,1,0.001996007984,0.02173913043
Conditions & formulations,Men's health,Men's fertility support,,Men's fertility support,Prostatitis,1,0.07142857143,0.02173913043
Nutritional supplements,Enzymes,Systemic enzymes,Other systemic enzymes,Other systemic enzymes,Prostatitis,1,0.008695652174,0.02173913043
Nutritional supplements,Other metabolites & bioactive compounds,PEA,,PEA,Prostatitis,1,0.008064516129,0.02173913043
Vitamins & minerals,Minerals,Selenium,Selenium glycinate,Selenium glycinate,Prostatitis,1,0.5,0.02173913043
Conditions & formulations,Genitourinary health,Urinary tract & bladder support,,Urinary tract & bladder support,Prostatitis,1,0.007692307692,0.02173913043
Homeopathy,Homeopathic remedies,Homeopathic singles,,Homeopathic singles,Psoriasis,6,0.01463414634,0.06593406593
Nutritional supplements,Omegas & other fatty acids,Fish oil,Balanced EPA/DHA,Balanced EPA/DHA,Psoriasis,5,0.001895375284,0.05494505495
Nutritional supplements,Enzymes,Digestive enzymes,Bile,Bile,Psoriasis,3,0.01744186047,0.03296703297
Herbal/Botanicals,Herbs,Boswellia (Indian frankincense),,Boswellia (Indian frankincense),Psoriasis,3,0.01666666667,0.03296703297
Nutritional supplements,Omegas & other fatty acids,Fish oil,Cod liver oil,Cod liver oil,Psoriasis,3,0.01986754967,0.03296703297
Conditions & formulations,Immune & inflammatory health,Inflammation support,,Inflammation support,Psoriasis,3,0.005172413793,0.03296703297
Herbal/Botanicals,Herbs,Turmeric (Curcumin),Meriva,Meriva,Psoriasis,3,0.006976744186,0.03296703297
Conditions & formulations,Gastrointestinal health,Microbial support,,Microbial support,Psoriasis,3,0.002178649237,0.03296703297
Conditions & formulations,Dermatological health,Skin Support,,Skin Support,Psoriasis,3,0.02097902098,0.03296703297
Homeopathy,Homeopathic remedies,Topical homeopathics,,Topical homeopathics,Psoriasis,3,0.04109589041,0.03296703297
Vitamins & minerals,Complexes & combos,Vitamin D & K,,Vitamin D & K,Psoriasis,3,0.0005222841226,0.03296703297
Personal care & healthy living,Bath & body care,Body treatments,Body repair & renewal,Body repair & renewal,Psoriasis,2,0.08333333333,0.02197802198
Nutritional supplements,Omegas & other fatty acids,Other fatty acids,Butyrate,Butyrate,Psoriasis,2,0.01307189542,0.02197802198
Conditions & formulations,Gastrointestinal health,GI lining support,,GI lining support,Psoriasis,2,0.001846722068,0.02197802198
Nutritional supplements,Other metabolites & bioactive compounds,Glucosamine & chondroitin,,Glucosamine & chondroitin,Psoriasis,2,0.008547008547,0.02197802198
Herbal/Botanicals,Phytonutrients,Flavonoids,Green tea catechins,Green tea catechins,Psoriasis,2,0.03571428571,0.02197802198
Nutritional supplements,Probiotics,Lacto-bifidobacteria,Lacto-bifidobacteria blends,Lacto-bifidobacteria blends,Psoriasis,2,0.001382170007,0.02197802198
Vitamins & minerals,Vitamins,Vitamin A,Retinyl palmitate,Retinyl palmitate,Psoriasis,2,0.02739726027,0.02197802198
Nutritional supplements,Omegas & other fatty acids,Fish oil,SPM,SPM,Psoriasis,2,0.007633587786,0.02197802198
Vitamins & minerals,Complexes & combos,ADK/E,,ADK/E,Psoriasis,1,0.003144654088,0.01098901099
Herbal/Botanicals,Herbs,Garlic (Allicin),Aged garlic,Aged garlic,Psoriasis,1,0.01030927835,0.01098901099
Herbal/Botanicals,Herbs,Andrographis,,Andrographis,Psoriasis,1,0.05,0.01098901099
Conditions & formulations,"Antiox, detox, & cellular health",Antioxidant support,,Antioxidant support,Psoriasis,1,0.01492537313,0.01098901099
Nutritional supplements,Probiotics,Bacillus (Spore-based),Bacillus blends,Bacillus blends,Psoriasis,1,0.001841620626,0.01098901099
Conditions & formulations,Cardiometabolic health,Blood pressure support,,Blood pressure support,Psoriasis,1,0.004310344828,0.01098901099
Nutritional supplements,Omegas & other fatty acids,Plant omegas,Borage oil,Borage oil,Psoriasis,1,0.05263157895,0.01098901099
Nutritional supplements,Collagen & protein,Collagen,Bovine collagen,Bovine collagen,Psoriasis,1,0.003278688525,0.01098901099
Vitamins & minerals,Multivitamins & minerals,Children's multivitamins,Children's multis+,Children's multis+,Psoriasis,1,0.02380952381,0.01098901099
Conditions & formulations,Traditional formulations,Chinese formulas,,Chinese formulas,Psoriasis,1,0.0036900369,0.01098901099
Nutritional supplements,Amino acids,Peptides,Colostrum & immunoglobulins,Colostrum & immunoglobulins,Psoriasis,1,0.002141327623,0.01098901099
Conditions & formulations,"Antiox, detox, & cellular health",Detox support,,Detox support,Psoriasis,1,0.001996007984,0.01098901099
Nutritional supplements,Omegas & other fatty acids,Fish oil,EPA-dominant,EPA-dominant,Psoriasis,1,0.0007651109411,0.01098901099
Conditions & formulations,Gastrointestinal health,Gallbladder support,,Gallbladder support,Psoriasis,1,0.004149377593,0.01098901099
Herbal/Botanicals,Herbs,Ginger (Zingiber),,Ginger (Zingiber),Psoriasis,1,0.009259259259,0.01098901099
Nutritional supplements,Amino acids,Peptides,Glutathione,Glutathione,Psoriasis,1,0.003076923077,0.01098901099
Nutritional supplements,Prebiotics & fibers,Guar gum,,Guar gum,Psoriasis,1,0.002793296089,0.01098901099
Homeopathy,Homeopathic remedies,Homeopathic combinations,,Homeopathic combinations,Psoriasis,1,0.01492537313,0.01098901099
Conditions & formulations,Musculoskeletal health & sport/exercise,Joint support,,Joint support,Psoriasis,1,0.002958579882,0.01098901099
Nutritional supplements,Amino acids,Peptides,Lactoferrin,Lactoferrin,Psoriasis,1,0.01754385965,0.01098901099
Conditions & formulations,Cardiometabolic health,Lipid support,,Lipid support,Psoriasis,1,0.002994011976,0.01098901099
Personal care & healthy living,Bath & body care,Child & baby care,Lotions & creams (child & baby),Lotions & creams (child & baby),Psoriasis,1,0.09090909091,0.01098901099
Vitamins & minerals,Multivitamins & minerals,Multivitamins,,Multivitamins,Psoriasis,1,0.0009174311927,0.01098901099
Nutritional supplements,Enzymes,Digestive enzymes,Other digestive enzymes,Other digestive enzymes,Psoriasis,1,0.0004692632567,0.01098901099
Nutritional supplements,Probiotics,Other probiotic species,,Other probiotic species,Psoriasis,1,0.01282051282,0.01098901099
Nutritional supplements,Enzymes,Systemic enzymes,Other systemic enzymes,Other systemic enzymes,Psoriasis,1,0.008695652174,0.01098901099
Vitamins & minerals,Minerals,Zinc,Other zinc,Other zinc,Psoriasis,1,0.01351351351,0.01098901099
Nutritional supplements,Other metabolites & bioactive compounds,Phosphatidylcholine,,Phosphatidylcholine,Psoriasis,1,0.006024096386,0.01098901099
Herbal/Botanicals,Phytonutrients,Flavonoids,Quercetin,Quercetin,Psoriasis,1,0.004115226337,0.01098901099
Personal care & healthy living,Facial care,Serums,,Serums,Psoriasis,1,0.1666666667,0.01098901099
Personal care & healthy living,Bath & body care,Child & baby care,Shampoo & body wash (child & baby),Shampoo & body wash (child & baby),Psoriasis,1,0.3333333333,0.01098901099
Herbal/Botanicals,Herbs,Garlic (Allicin),Standard garlic,Standard garlic,Psoriasis,1,0.006802721088,0.01098901099
Herbal/Botanicals,Herbs,Turmeric (Curcumin),Theracurmin,Theracurmin,Psoriasis,1,0.01351351351,0.01098901099
Vitamins & minerals,Vitamins,Vitamin D,Vitamin D3 (Cholecalciferol),Vitamin D3 (Cholecalciferol),Psoriasis,1,0.0006631299735,0.01098901099
Vitamins & minerals,Minerals,Zinc,Zinc bisglycinate,Zinc bisglycinate,Psoriasis,1,0.003802281369,0.01098901099
Vitamins & minerals,Minerals,Zinc,Zinc carnosine,Zinc carnosine,Psoriasis,1,0.006172839506,0.01098901099
Vitamins & minerals,Minerals,Zinc,Zinc picolinate,Zinc picolinate,Psoriasis,1,0.002212389381,0.01098901099
Nutritional supplements,Amino acids,Amino compounds,N-acetyl-cysteine (NAC),N-acetyl-cysteine (NAC),Pulmonary fibrosis,2,0.002094240838,0.5
Nutritional supplements,Other metabolites & bioactive compounds,CoQ10,,CoQ10,Pulmonary fibrosis,1,0.001333333333,0.25
Nutritional supplements,Enzymes,Systemic enzymes,Lumbrokinase,Lumbrokinase,Pulmonary fibrosis,1,0.07142857143,0.25
Vitamins & minerals,Minerals,Magnesium,Magnesium glycinate,Magnesium glycinate,Restless legs syndrome,38,0.009620253165,0.3454545455
Vitamins & minerals,Minerals,Magnesium,Other magnesium,Other magnesium,Restless legs syndrome,10,0.007183908046,0.09090909091
Vitamins & minerals,Minerals,Iron,Iron bisglycinate,Iron bisglycinate,Restless legs syndrome,6,0.002348336595,0.05454545455
Vitamins & minerals,Complexes & combos,B-complexes,,B-complexes,Restless legs syndrome,5,0.001703577513,0.04545454545
Conditions & formulations,Neurocognitive health & sleep,Sleep support,,Sleep support,Restless legs syndrome,5,0.006075334143,0.04545454545
Homeopathy,Homeopathic remedies,Homeopathic combinations,,Homeopathic combinations,Restless legs syndrome,4,0.05970149254,0.03636363636
Vitamins & minerals,Minerals,Magnesium,Magnesium chloride,Magnesium chloride,Restless legs syndrome,3,0.0625,0.02727272727
Vitamins & minerals,Multivitamins & minerals,Multiminerals,,Multiminerals,Restless legs syndrome,3,0.01181102362,0.02727272727
Vitamins & minerals,Vitamins,Vitamin C,Ascorbic acid,Ascorbic acid,Restless legs syndrome,2,0.003401360544,0.01818181818
Vitamins & minerals,Complexes & combos,Calcium & magnesium,,Calcium & magnesium,Restless legs syndrome,2,0.016,0.01818181818
Conditions & formulations,Neurocognitive health & sleep,Calming support,,Calming support,Restless legs syndrome,2,0.002954209749,0.01818181818
Nutritional supplements,Other metabolites & bioactive compounds,CoQ10,,CoQ10,Restless legs syndrome,2,0.002666666667,0.01818181818
Nutritional supplements,Amino acids,Amino compounds,GABA,GABA,Restless legs syndrome,2,0.003514938489,0.01818181818
Conditions & formulations,Cardiometabolic health,Lipid support,,Lipid support,Restless legs syndrome,2,0.005988023952,0.01818181818
Vitamins & minerals,Minerals,Magnesium,Magnesium threonate,Magnesium threonate,Restless legs syndrome,2,0.003372681282,0.01818181818
Herbal/Botanicals,Herbs,Mucuna (L-dopa),,Mucuna (L-dopa),Restless legs syndrome,2,0.07692307692,0.01818181818
Conditions & formulations,Musculoskeletal health & sport/exercise,Muscular support,,Muscular support,Restless legs syndrome,2,0.03921568627,0.01818181818
Nutritional supplements,Other metabolites & bioactive compounds,Alpha lipoic acid (ALA),,Alpha lipoic acid (ALA),Restless legs syndrome,1,0.002469135802,0.009090909091
Conditions & formulations,Cardiometabolic health,Blood sugar support,,Blood sugar support,Restless legs syndrome,1,0.001984126984,0.009090909091
Vitamins & minerals,Vitamins,Vitamin C,Buffered C (Ascorbates),Buffered C (Ascorbates),Restless legs syndrome,1,0.00243902439,0.009090909091
Conditions & formulations,Traditional formulations,Chinese formulas,,Chinese formulas,Restless legs syndrome,1,0.0036900369,0.009090909091
Vitamins & minerals,Complexes & combos,Electrolytes,,Electrolytes,Restless legs syndrome,1,0.003125,0.009090909091
Nutritional supplements,Amino acids,Base amino acids,Glycine,Glycine,Restless legs syndrome,1,0.005813953488,0.009090909091
Vitamins & minerals,Minerals,Iron,Iron pyrophosphate,Iron pyrophosphate,Restless legs syndrome,1,0.02702702703,0.009090909091
Nutritional supplements,Amino acids,Base amino acids,L-theanine,L-theanine,Restless legs syndrome,1,0.0008156606852,0.009090909091
Herbal/Botanicals,Mushrooms,Lion's mane,,Lion's mane,Restless legs syndrome,1,0.01075268817,0.009090909091
Vitamins & minerals,Minerals,Lithium,Lithium orotate,Lithium orotate,Restless legs syndrome,1,0.003460207612,0.009090909091
Nutritional supplements,Omegas & other fatty acids,Other fatty acids,MCTs,MCTs,Restless legs syndrome,1,0.01492537313,0.009090909091
Vitamins & minerals,Minerals,Magnesium,Magnesium malate,Magnesium malate,Restless legs syndrome,1,0.008403361345,0.009090909091
Vitamins & minerals,Minerals,Magnesium,Magnesium oxide,Magnesium oxide,Restless legs syndrome,1,0.004347826087,0.009090909091
Vitamins & minerals,Minerals,Iron,Other iron,Other iron,Restless legs syndrome,1,0.001706484642,0.009090909091
Vitamins & minerals,Vitamins,Vitamin B6 (Pyridoxine),Other vitamin B6,Other vitamin B6,Restless legs syndrome,1,0.1,0.009090909091
Vitamins & minerals,Vitamins,Vitamin E,Tocopherols,Tocopherols,Restless legs syndrome,1,0.009090909091,0.009090909091
Vitamins & minerals,Vitamins,Vitamin B2 (Riboflavin),,Vitamin B2 (Riboflavin),Restless legs syndrome,1,0.006802721088,0.009090909091
Vitamins & minerals,Complexes & combos,Vitamin D & K,,Vitamin D & K,Restless legs syndrome,1,0.0001740947075,0.009090909091
Conditions & formulations,"Eye, ear, nose, & throat health",Eye support,,Eye support,Retinopathy,1,0.006134969325,0.5
Herbal/Botanicals,Phytonutrients,Flavonoids,Quercetin,Quercetin,Retinopathy,1,0.004115226337,0.5
Conditions & formulations,Immune & inflammatory health,Inflammation support,,Inflammation support,Rheumatoid arthritis,11,0.01896551724,0.1279069767
Nutritional supplements,Omegas & other fatty acids,Fish oil,Balanced EPA/DHA,Balanced EPA/DHA,Rheumatoid arthritis,6,0.002274450341,0.06976744186
